sub1,sub2,problem,verdict
0017d438,9852706b,9,1
0c173033,6b83b22e,17,1
24044589,e435b1ac,9,0
8535bdf7,e86eb5b0,1,0
83b44c9c,ed610dc9,18,0
2c7a0000,4201fdf7,19,1
24b20554,43b10dec,9,1
175201f9,40cc90ae,15,0
1469697d,69c86b61,21,1
2db37cb1,875ed4c8,3,0
9e7551da,f0e13442,15,1
354d060f,e1c4f3db,16,0
44428e63,c850e422,18,0
4dc0247e,875ed4c8,3,0
bd65846f,d018b49f,19,0
71e0f2e5,b226c49a,3,0
7d7cf9a7,e45446bc,18,0
8d6f1bf5,dc281165,4,0
3666e0e8,ac7187d8,18,0
680ba922,76ad805a,4,0
69b2fd22,9028caf7,19,1
3afcc566,d8a171a3,4,0
0ca738ce,931faca2,14,0
2120328e,52cd85f2,20,0
4e5ee0f7,d6fb3b9e,15,0
d55c238c,ebce9e39,9,1
54eb12ca,949502c2,2,0
11c2ab99,e6a6e318,8,1
3afcc566,3dd65549,4,0
35f0c004,efa38999,4,0
42fe7dd0,9291ca83,15,1
5a81e159,866a2d52,1,0
3d245498,7838095f,17,1
26e699de,fcc7e8fa,4,0
9028caf7,e6b7a899,19,0
b2590225,f7fc2e94,9,0
558df7d4,f0d91796,17,1
bf85ab7b,e48933fa,1,0
722e318f,ff1fc018,20,0
68cdd55d,c18048bf,3,0
0fd5b95a,41e72d4f,19,0
16857116,e185bce5,4,0
1dab88fb,7b5f64b7,3,0
680ba922,ee4b9467,4,0
0c1143f7,960a4c0f,18,0
3d88acb8,b6023b26,11,0
9069684f,bf85ab7b,1,0
32ff22fe,f0d91796,17,0
36f1b52a,558df7d4,17,1
39098126,3bcd2014,16,0
0588b869,9028caf7,19,0
22b41936,8f855b99,19,0
584b0e9e,722e318f,20,0
7814575b,8cfe3ee0,15,0
034030f3,bf992c91,19,1
99bc7da3,ced4639e,7,0
403e3270,58d18fca,16,1
80881cae,a7e7f371,21,1
4a570de6,9852706b,9,0
316c9955,e7370eec,1,0
375489f2,a4c98ae1,19,0
26e699de,e99c14b9,4,0
2695ce73,ac8acb97,18,1
1162c08f,a4d6775d,19,1
480de7be,f4757480,15,1
2120328e,b790ef12,20,1
6e207cbf,e19376ca,4,0
9028caf7,a4e39423,19,0
80881cae,f8e7b886,21,0
43855bfe,ddcadc64,17,0
7279bcb3,cfba313d,15,1
a4e39423,ba8800f5,19,0
af2b138c,e45446bc,18,1
10bbe9de,48993e07,8,0
927384f2,d4779c71,6,0
aa8091b0,ac180326,9,0
692a4496,f7006f16,5,0
b9595381,c4ca2ff3,15,0
2ef4c176,fa1bf524,1,0
8703709f,f0801d53,21,0
56a90e79,b505f95e,8,0
0ea5a836,3c74c140,15,0
63118334,c392efe7,2,0
14b0fb8e,d221162a,19,1
ca8f11a4,e19376ca,4,0
d2eb953e,dcf09f37,1,0
a368f345,b434c275,15,0
1adac634,ee0bc145,21,0
73f57af1,ac8ef97c,1,0
0ee2f8f1,587307f2,16,1
5bf01190,79b9b897,18,0
5b9a0551,9debf95c,18,0
476e94d3,9310ad0c,21,0
2b2d3b84,9fd33d5a,8,0
26e699de,f229aa7f,4,0
169e34bf,d9199dfd,20,0
0ecf356d,71a4f6d2,6,1
1162c08f,6653a758,19,1
1410e423,e90a198b,4,0
f229aa7f,fcc7e8fa,4,0
127af3a7,99ccaa44,3,0
268eb6c6,3cf63146,8,0
3c74c140,732c98a0,15,1
4241f473,4685c420,15,0
522458fc,702694f5,5,0
ca8f11a4,e185bce5,4,0
0922b7e7,d1cd194e,9,0
201e3463,de599e42,11,1
624b8db5,eacc407e,3,0
929b98f0,bf85ab7b,1,0
856a8eda,c354b74f,9,0
55ab9b5d,c6113c06,15,1
35bb6075,ed728769,15,0
2c7a0000,bd50e3fe,19,1
ac2dfc53,c4187a0e,5,0
25597bcb,86232d21,9,0
086f0f90,4a570de6,9,0
1162c08f,eea69e7f,19,0
55ab9b5d,ae4d5b49,15,0
6e7cd58b,7279bcb3,15,1
3e1442a3,d0e27497,3,0
83b44c9c,e431de28,18,0
4552d8a0,d3a96420,20,0
1410e423,da5cf40b,4,0
3d06b643,cb87df79,19,1
034030f3,9e4ddc38,19,0
9291ca83,b185d034,15,1
1dab88fb,4138b081,3,0
80e6c4db,f22a4243,13,0
9291ca83,d61f51c5,15,0
1c90c367,f0801d53,21,1
018c15bd,378bb1ca,18,0
1ea771ea,2f8c3bf3,8,0
0951d079,71a4f6d2,6,1
1480a727,a7d1ce58,21,1
3bd7275e,8635bc10,13,0
0c9d4def,1a6f8b20,15,0
eea69e7f,f6ca6fc8,19,0
3088ca9c,f6ed6826,15,0
4d279121,a3e272af,9,0
9debf95c,ac596a43,18,1
343cc8e7,7f69a9e8,6,0
085ddefc,1500a4fa,4,0
bdfe8110,c57a973e,8,1
45f5632f,5dc1f7b3,19,0
3b5cec19,8f31b279,9,1
3380fa52,48993e07,8,1
22b41936,45f5632f,19,0
6b97058e,921b6e4a,14,1
4be01508,b7de5c19,3,0
161b4a40,da5cf40b,4,0
3dd65549,c1638a45,4,0
6e207cbf,76ad805a,4,0
3368f340,d8a171a3,4,0
464a03b8,c9159d9c,20,0
a8f7c8b7,c1638a45,4,0
1c90c367,e52863b8,21,0
018c9543,d1dbc56a,7,0
1be078c4,f339ef6f,8,0
120878da,ac180326,9,0
3f939694,54488276,15,0
49e94e7e,d7a8434f,4,0
ba468e1f,fb312dc6,20,0
953ac418,ba9b94f7,8,0
07038b12,a18cb2c1,3,0
69c97258,db01da00,19,0
ac121776,eb6cfca7,18,0
c48673a6,ebed1250,18,0
9756f13a,ea899386,9,0
d8a171a3,f229aa7f,4,0
03b3c5af,d74028ea,1,0
9069684f,fffc11ee,1,0
163d0dde,f87eb1b3,18,0
5766f176,e7a997b5,3,0
2120328e,6de04ee2,20,1
529d9642,8ad1ad84,1,0
3d06b643,930dd1f1,19,0
4138b081,f729338f,3,0
00f79486,fb312dc6,20,0
b434c275,fdc4f384,15,1
1dab88fb,f59d9b6e,3,1
1071f735,cd835290,9,1
83b44c9c,8d9871a9,18,0
40132ebc,d783d815,15,0
14b0fb8e,6490bbe8,19,0
a368f345,e5d02e93,15,0
08cf0478,0f14b12d,15,0
d2a4c1fb,dcdaf666,18,0
25597bcb,5fcbdd19,9,0
643e22cc,bd7281dc,9,0
63bfa731,7974ffba,2,1
04df7bb8,85125ecb,8,1
646b3abc,8261bd1c,4,0
05ca89ed,5b9a0551,18,0
01b911ac,a195911e,21,0
079ad09e,20012377,8,1
6653a758,6bcc5afd,19,1
11c2ab99,259c1ea4,8,0
0df4050e,6f02c6d9,20,1
d1cd194e,dbffab11,9,0
2b9dfed3,351c9206,8,1
169e34bf,609af028,20,0
1c4d348d,565f77b7,9,0
0922b7e7,c34bb733,9,0
2eb89317,d4a3869e,4,0
3a12e509,47310b0e,20,0
8f30bfc3,af1b152e,19,1
51cc7026,51d88c51,16,0
0f14b12d,7d12d33c,15,1
0c0af0ff,d6a8d884,18,0
80881cae,ad4c7a20,21,1
1ea771ea,ee270b2a,8,1
0df4050e,d9199dfd,20,1
42fe7dd0,c4ca2ff3,15,1
69b8ffb2,c9159d9c,20,0
baa8e497,cc9230d3,1,0
46e9aed4,ee4f7b06,19,0
3368f340,402aff07,4,0
0889dcfb,22138fad,21,0
35857a5a,ab7507bf,15,0
bdfe8110,e6a6e318,8,1
016510dc,f1540246,10,0
317a209c,548ffb07,14,1
2eb89317,fcc7e8fa,4,0
829d2024,9852706b,9,1
11373c16,7011024d,19,0
51d857bc,c392efe7,2,0
3cf63146,bdfe8110,8,0
29210e56,46e9aed4,19,0
5647d16e,ea09d197,3,0
90dc2b20,d8a171a3,4,0
1f748faf,851fafb6,7,0
e2fe9d7d,ece1820d,13,0
d12f26f0,df594a00,8,0
aa4b840f,e99c14b9,4,0
4548305b,be3b1289,8,1
98950986,b9595381,15,0
0d4d22e0,d20e861b,10,0
a4d6775d,eea69e7f,19,0
0588b869,69b2fd22,19,0
4e87c35b,f1f600d9,18,0
71c7ac71,8f778337,8,0
26e699de,3dd65549,4,0
307ef2cb,565f77b7,9,0
856a8eda,a3e272af,9,0
6815a099,f41057db,2,1
81a9086f,baebdc56,14,0
5e8d1aaa,c4d04ce7,8,1
8703709f,d2901569,21,0
5756162d,808f7516,6,0
6f037b1d,ef1117e3,1,0
93ee4612,da5cf40b,4,0
3a12e509,6de04ee2,20,0
0f3a2acf,dba80ad4,1,0
24afd00e,424c930b,1,0
7011024d,e6b7a899,19,0
d9199dfd,ff1fc018,20,0
49b94994,558df7d4,17,0
3c667d4f,be3b1289,8,1
734a94be,cb87df79,19,1
169e34bf,fae0662f,20,1
c73cd266,d2eb953e,1,0
df594a00,fcbe7917,8,0
3a12e509,c9159d9c,20,0
1adac634,a7e7f371,21,0
12c1cc56,7b71234c,19,1
fc7dfa16,fe94ee2f,18,1
169e34bf,69b8ffb2,20,0
21123500,fbd26aa0,9,1
49e94e7e,da5cf40b,4,0
8c591975,b6724dd9,8,0
42c7b9df,adbb2f71,16,0
47d54299,63bfa731,2,1
4a5b029f,fb05904c,4,0
4851a411,e201bc2e,3,0
39073790,d735b078,6,0
ca0c55ad,e14d1ba0,18,1
2bbf754b,69b8ffb2,20,0
7814575b,b55888de,15,0
3e28571b,77b5c134,6,0
40cc90ae,51151974,15,0
26ad111c,b0a01ee7,15,0
298ee961,392218ef,20,0
00af3420,86102d81,15,0
00db6701,0c1143f7,18,0
5289e80a,d82fa7e3,1,0
52cd85f2,ff34fab2,20,0
0d11fb94,8c79c384,19,0
cc9230d3,ec558d69,1,1
3850468c,403e3270,16,0
fadc1365,fdd85afb,8,0
66565156,6f393cfe,15,1
0b04b41e,fdd41565,15,0
4a1573d6,db8d728d,10,0
8d6f1bf5,e90a198b,4,0
3088ca9c,a2cf5634,15,0
51cc7026,e81b2d16,16,1
8a5fe3d9,ea899386,9,1
8a729537,abd16ff0,18,1
35f0c004,8d6f1bf5,4,0
31f29772,d04e5afb,9,0
ba468e1f,ff34fab2,20,0
8aadde13,fb20d298,11,1
54129ce9,607d5541,7,1
ba468e1f,d9199dfd,20,0
d5dc6626,f59d9b6e,3,0
67241a76,8a39dbf5,8,0
23cb8587,a5f41b95,1,0
07043d35,97a7fab5,15,0
73f57af1,9a20c823,1,0
778c91af,9399204d,15,0
29210e56,4323e2bd,19,0
1dab88fb,b7de5c19,3,0
5d175166,d1391025,3,0
0ecf356d,b2bae06a,6,0
81fb6415,b3d4c5ca,13,0
2e404969,bc46480a,21,0
4f7af821,f870e76b,8,0
45f46b14,7b162d33,12,1
2915ac5b,9b8c6bd7,18,1
b55888de,d3a0b8d2,15,0
548ffb07,921b6e4a,14,1
4201fdf7,93322168,19,0
1dab88fb,9c55bc1b,3,0
6f393cfe,d3a0b8d2,15,0
49b94994,f0d91796,17,0
1162c08f,f6ca6fc8,19,1
3afcc566,fcc7e8fa,4,0
b56ebada,b95a75a7,11,0
8782922d,f5f97f19,15,0
20166f71,a98d56f9,13,0
7bcacc97,e431de28,18,0
161b4a40,49e94e7e,4,0
28c2d81a,8f6421f3,8,1
2bbf754b,d9199dfd,20,0
4eac0eea,f4d6d28d,15,1
5c54f087,c6c7fa0c,2,0
5af25bd7,77ec956f,1,1
680ba922,90dc2b20,4,0
1eda0725,80881cae,21,0
53d782a0,5769b7b3,13,1
46bde295,8a858867,15,1
3380fa52,8a39dbf5,8,0
505f8562,ed37ba7d,8,0
2c865582,2ef4c176,1,0
7c11511f,f3d7ce08,4,0
d221162a,ee4f7b06,19,0
0951d079,b2bae06a,6,0
08cf0478,9291ca83,15,1
9f354c5c,a6532df9,3,0
a3e272af,d1cd194e,9,0
6255ee79,ac8ef97c,1,0
b434c275,f8c99dd0,15,0
b728ba1d,d04e5afb,9,1
4ea10951,7c11511f,4,0
43b85d63,a37923d1,11,0
0c00d532,521c5645,18,0
597195ee,5f3a196a,21,1
29bbcd8b,d4779c71,6,0
c34bb733,ea899386,9,0
3ff25f43,a195911e,21,0
4138b081,f59d9b6e,3,0
8be61667,ca3128ab,18,0
372a4f50,e435b1ac,9,0
680ba922,6d7d5dd7,4,0
873828f7,ac8acb97,18,1
884f5678,9862c742,20,0
4f7af821,8f6421f3,8,1
3b10bd6d,f2cf6a74,15,0
69b8ffb2,ba468e1f,20,0
22dff786,624529e3,21,0
2722ef48,e9144440,3,0
3b498a39,e6b7a899,19,0
4548305b,c0aa6246,8,0
4e28b45e,fc1771af,4,0
a101df86,dffa45ac,17,1
04df7bb8,aaccc000,8,1
141effef,9cea10af,19,0
bf0df1d5,d1cd194e,9,0
74f4382e,bd584714,1,0
0e87b87f,6369a7a2,10,0
3e93b259,a60fba84,18,1
04a706b1,5b7127bf,2,0
141effef,6653a758,19,0
2a35cd81,464ad4dd,15,0
0b04b41e,9291ca83,15,1
9261620f,f0881ab5,7,1
c4ca2ff3,d83f74f7,15,0
71c7ac71,bdfe8110,8,0
4e9c4bf9,f9e08a46,19,0
29cf2e70,72d9eb5b,20,1
12c1cc56,c06c758d,19,1
90f01508,e00b1794,3,0
d9199dfd,fb312dc6,20,1
a7063d01,ac4d0fc5,3,0
584b0e9e,c9159d9c,20,0
2bda1866,e4ab72e5,4,0
585af783,f7a0ea6d,15,0
b8b08542,d783d815,15,1
3a12e509,e812ee0b,20,0
0f09b843,45e41c6d,15,0
49e94e7e,fcc7e8fa,4,0
a7e7f371,f8e7b886,21,0
e1c4f3db,e81b2d16,16,1
11c2ab99,fadc1365,8,1
5af25bd7,fa1bf524,1,0
cdb801a1,dcdaf666,18,0
4303de0d,c9a316ca,1,0
6c4ac8d3,829d2024,9,1
29cb9b0e,c77654b8,17,0
5449d33c,dff5ff0a,15,0
abd16ff0,db1ef8b3,18,0
4da08761,a5d5a95f,15,0
18d20d2e,d8a171a3,4,0
1c8bb204,7d7cf9a7,18,0
4552d8a0,ec4c7e8e,20,0
5dbd0a07,bdc08e6f,9,1
67996c4c,9028caf7,19,0
7d9b95c0,9d33ca79,3,0
40cc90ae,9399204d,15,0
49b94994,d8654140,17,0
7011024d,eea69e7f,19,0
169e34bf,ba468e1f,20,0
0048a372,0adb1ee5,8,0
3e93b259,e431de28,18,0
8639f6c6,e18ae6a1,8,0
ccc8ef27,f7a0ea6d,15,0
3ef54b1a,bac616ee,3,0
1f257299,76b978c2,5,0
ad2a1ae2,bc46480a,21,0
bdfe8110,fadc1365,8,1
ec607ca1,ed37ba7d,8,0
8a39dbf5,ff3283cf,8,1
10584086,f229aa7f,4,0
1a400c1b,b505f95e,8,0
464ad4dd,9291ca83,15,0
402aff07,f229aa7f,4,0
4e28b45e,d7a8434f,4,1
34b9ed7f,8311f375,5,1
624b8db5,90f01508,3,0
d6bbd286,fabb36ff,3,0
99afdfb3,e152c1ff,13,1
5a74241a,6490bbe8,19,0
6de04ee2,d9199dfd,20,0
90d0ffd0,b21c7532,10,0
ca3128ab,e270e909,18,0
1013b392,5a340556,17,1
ae716b8f,f1a42a42,6,0
808f7516,9ebe348d,6,0
28c2d81a,48c5f745,8,1
3b498a39,ae775964,19,0
8e990c75,96b3758b,19,0
54d7c21e,a7e7f371,21,1
8c011cb9,e0f6aad6,12,0
1ea771ea,b9219544,8,0
5f3a196a,d76e3b9d,21,0
565f77b7,856a8eda,9,0
2470b521,2da4b3fe,19,0
a101df86,f0d91796,17,0
48993e07,96cd6ee9,8,1
69b2fd22,d221162a,19,0
6f393cfe,7a9c69d8,15,1
317a209c,3e6def38,14,1
1be078c4,7ae0cb0d,8,0
26e699de,76ad805a,4,0
51e5a1a5,960a4c0f,18,0
99ccaa44,e7a997b5,3,0
5af25bd7,cbbbed5f,1,0
72d9eb5b,884f5678,20,0
a8f7c8b7,f229aa7f,4,0
09586ae3,88c90c09,16,0
8a041ef5,bdf7bfb2,15,0
a4ec80a0,d314aa92,19,0
54d7c21e,80881cae,21,1
2a35cd81,97a7fab5,15,0
11373c16,d8e4eb5e,19,0
11d91f31,4323e2bd,19,0
7c220622,a06631ff,7,0
cc669e02,d88fa51c,13,0
c9159d9c,d3a96420,20,0
2f8c3bf3,3c667d4f,8,0
a7894e0b,fadc1365,8,1
69b2fd22,764484c3,19,0
69b2fd22,7bc92b7f,19,0
3b498a39,69b2fd22,19,0
38b356b7,c77654b8,17,0
1500a4fa,d7a8434f,4,0
8f31b279,a3e272af,9,0
45561f1f,cc9230d3,1,0
94b3b86d,efe594c3,2,0
829d2024,8a20e743,9,1
3cb8c2b7,ec8566b8,3,0
1b372750,fdd41565,15,1
45e38fad,5be7547e,3,0
4212c4b9,829d2024,9,1
584b0e9e,d9199dfd,20,1
8d9871a9,eb6cfca7,18,0
169e34bf,2bbf754b,20,0
4da08761,d6fb3b9e,15,0
04ed33a5,7ea34254,17,0
80c384e4,967b67b0,8,1
68d422ec,d77f722c,8,0
1162c08f,6bcc5afd,19,1
065e0cbd,9b449b4f,5,0
764484c3,9028caf7,19,0
5ee4d2f9,b38468e8,19,0
ac180326,b728ba1d,9,0
7686c854,abd16ff0,18,1
29cb9b0e,d3da65ff,17,1
45b19e51,f9adc043,16,0
3cbcb1cc,6045e5d1,8,1
312d9460,e7024f3e,8,0
46e9aed4,8ddb5587,19,0
4da08761,c4ca2ff3,15,1
530f01c2,f41057db,2,1
ac180326,d1cd194e,9,0
8d9871a9,e431de28,18,1
2c7a0000,69b2fd22,19,0
b7de5c19,c022c315,3,0
317a209c,9ab3c0e1,14,1
810cf242,968c1e7e,8,0
9fc811f7,cff39394,2,1
0588b869,11373c16,19,0
608ee4fb,be7b6026,3,0
7f42483d,c9a316ca,1,0
810fd282,ec558d69,1,1
41e69083,54eb1a6b,13,1
a3ebea91,f80f6d8d,6,1
77d22fc3,d3528b2a,4,1
ac180326,b1e9f1f6,9,0
464a03b8,f0ede32a,20,1
3e8ff074,d9199dfd,20,0
2a655afe,692a4496,5,1
1eda0725,d2901569,21,0
8f6421f3,ea2fc2bc,8,1
6b83b22e,c59194c7,17,0
22b41936,29210e56,19,0
ccc8ef27,d6fb3b9e,15,1
392218ef,f0ede32a,20,0
2fdcf0ad,d20e861b,10,0
1230c43e,2bbf754b,20,0
2b2d3b84,aaccc000,8,1
3380fa52,f28b8cb4,8,1
2c7a0000,f4f1b18f,19,1
2d1553b5,656d0f78,5,1
04df7bb8,ee270b2a,8,1
0c9d4def,ef1d196b,15,0
6d55e68b,d8a171a3,4,0
4a570de6,4d279121,9,0
90f01508,ec8566b8,3,0
0b04b41e,4da08761,15,0
29d865c3,5cfa2861,4,0
6018974f,bdf7bfb2,15,0
31cdf5fe,80cc284c,21,0
76ad805a,f229aa7f,4,0
548ffb07,e7dce35b,14,1
e6a6e318,fadc1365,8,1
2b8f032c,a195911e,21,0
bdf7bfb2,d92c5342,15,0
3a12e509,fae0662f,20,0
4499e3b9,cbbbed5f,1,0
2560850b,76791c9f,3,0
722e318f,b790ef12,20,1
317baeaf,e17c5159,4,0
2bbc6c80,4e58558c,1,1
4b398e3e,94690b36,17,1
2da4b3fe,f4b87cc2,19,0
0c9d4def,f665e87b,15,0
9c55bc1b,c9da41af,3,0
175201f9,9399204d,15,0
a6520606,fb05904c,4,0
07749c65,2bbf754b,20,0
72d9eb5b,af0deeab,20,0
734a94be,f6ca6fc8,19,1
5db541bd,5e3089fa,13,0
6e207cbf,dc281165,4,0
b7de5c19,bac616ee,3,0
3d88acb8,8aadde13,11,1
a3e272af,f7fc2e94,9,0
5f3a2a70,e7a997b5,3,0
00af3420,f4d6d28d,15,0
5288afb7,df594a00,8,0
089b7f00,fb20d298,11,1
29210e56,c4cdd3af,19,0
2120328e,464a03b8,20,1
6f02c6d9,d3a96420,20,0
ac144188,e899614e,7,1
0017d438,ac180326,9,0
34cd5b66,d6af96bd,10,0
2bbf754b,9862c742,20,0
54488276,f4757480,15,0
11373c16,69b2fd22,19,0
b9595381,d6fb3b9e,15,1
9be0602e,c4ca2ff3,15,0
1c8bb204,4b7646f4,18,1
00af3420,d92c5342,15,0
23594fdf,b185d034,15,0
1d43139f,fdd41565,15,0
0cedec8a,ac8acb97,18,1
9f354c5c,cb032314,3,0
d23b398c,e14d1ba0,18,1
4241f473,77448a05,15,1
565f77b7,e8006510,9,0
10013f73,a8f7c8b7,4,0
60557643,948e98b6,17,0
51151974,c23278ec,15,0
00c0b82a,1ea771ea,8,0
c9159d9c,f0ede32a,20,0
9399204d,b434c275,15,1
0e68e463,d9199dfd,20,0
08b9908d,f5fb1b62,8,0
04df7bb8,1ea771ea,8,1
01c915a2,4e5ee0f7,15,0
80407703,99e059b8,13,0
45e38fad,ec8566b8,3,0
6db218a2,8ad1ad84,1,0
43ca682a,baebdc56,14,1
13860c31,870e16d9,4,0
1097b326,f1f600d9,18,0
b185d034,ccc8ef27,15,0
04ed33a5,0c173033,17,1
15941165,3b10bd6d,15,0
3a12e509,52cd85f2,20,0
c9da41af,f59d9b6e,3,1
313b42e6,e45446bc,18,0
4da08761,6f393cfe,15,0
ac7187d8,b7a6c59c,18,0
0ea5a836,732c98a0,15,0
6f393cfe,f38ae053,15,0
624b8db5,e9986d44,3,0
27ec4acc,ddcadc64,17,0
b7de5c19,ee65f7f5,3,0
ee270b2a,fc80cbe0,8,0
13441e8f,2ebeae13,19,0
2063ba3e,2ba7edb6,16,0
6e637812,aa8091b0,9,0
8532d5ed,b9595381,15,0
339fdc7f,6be4dcef,15,0
3368f340,a8f7c8b7,4,1
1230c43e,ce0b2178,20,0
17e67976,656b62de,15,0
722e318f,d9199dfd,20,0
31cdf5fe,f0801d53,21,0
0c9d4def,d3415fc5,15,0
51019113,bf85ab7b,1,0
7de69858,b76bce8a,21,0
c287ea9d,d2901569,21,0
ae4d5b49,f665e87b,15,0
3e191f3b,595f5d6c,19,0
1adac634,ad4c7a20,21,0
63bfa731,949502c2,2,1
3951966f,9bc690ef,19,0
5b9a0551,db1ef8b3,18,0
1ea771ea,3c667d4f,8,0
1162c08f,734a94be,19,1
a4c98ae1,ee4f7b06,19,1
bd3051e3,e2e37533,10,1
853acff9,929b98f0,1,0
53196443,e496d229,18,1
1f27b677,81fb6415,13,0
0ee2f8f1,c2b7b017,16,1
c57997b6,ff10b574,20,0
0f6ca337,6843cc19,11,1
29cf2e70,2f4509a0,20,1
35bb6075,76a69f5c,15,0
26e699de,402aff07,4,0
69b2fd22,e6b7a899,19,0
28820c82,8637bb90,18,0
aa266c38,b5fbe7a2,9,1
3e93b259,9d753699,18,0
72d4d693,ad2a1ae2,21,0
aa8091b0,eec856c0,9,1
0e68e463,2120328e,20,0
29cf2e70,584b0e9e,20,1
9ab3c0e1,d5fa4746,14,1
4d279121,856a8eda,9,0
21c9b214,d5a20936,4,1
3951966f,b842cf12,19,0
cdb801a1,e14d1ba0,18,0
51d857bc,63118334,2,0
54e71b9b,fd16f5b0,1,0
31f29772,ac180326,9,0
8a729537,e270e909,18,1
51d88c51,c2b7b017,16,1
0d11fb94,f9e08a46,19,0
3f6f1267,cdb7a891,14,0
47d54299,da0b7cb2,2,1
132281e9,f415c0bf,16,1
18e2441c,b728ba1d,9,0
60c85a4f,8926151a,19,0
0fdc80c5,28c2d81a,8,1
2eb89317,5f0a176e,4,0
16857116,6e207cbf,4,0
4685c420,77448a05,15,0
28d8c381,417833c3,5,0
3412b353,528a6162,21,1
3b498a39,9028caf7,19,0
38601291,3bcd2014,16,0
548ffb07,9ab3c0e1,14,1
884f5678,cf27732e,20,0
4fb09c5f,c57a973e,8,0
1a31f5cb,dc575a6c,1,0
3ff60986,d0b4b96c,1,1
11c2ab99,4f7af821,8,1
3afcc566,90dc2b20,4,0
f28b8cb4,ff3283cf,8,0
9fd33d5a,c220c822,8,0
a5d5a95f,c4ca2ff3,15,0
b5da712b,dd994c01,3,0
c9159d9c,fae0662f,20,0
a5d5a95f,ab7507bf,15,0
67996c4c,7bc92b7f,19,0
8e990c75,d9f6c257,19,0
ae6567fb,d22a53cd,2,0
35eb27da,8559d49e,12,0
2bbf754b,3a12e509,20,0
34aa6a45,dd5fd2a2,1,0
927384f2,b2bae06a,6,1
ba8800f5,d8e4eb5e,19,0
0e68e463,29cf2e70,20,0
8f31b279,d2f74dfc,9,0
0951d079,0ecf356d,6,1
921b6e4a,e7dce35b,14,1
116765b1,38601291,16,1
ad4c7a20,f8e7b886,21,0
05ca89ed,163d0dde,18,1
b08b1c3c,d92b4600,11,0
1a6f8b20,f6ed6826,15,0
6f02c6d9,c2242c42,20,1
c1fef98f,fadc1365,8,0
00af3420,5449d33c,15,0
1a6f8b20,77448a05,15,0
0b04b41e,c4ca2ff3,15,0
81fb6415,fb69b3b4,13,0
72d9eb5b,9862c742,20,0
2af19170,ac8ef97c,1,0
169e34bf,c9159d9c,20,0
9310ad0c,f36138e7,21,0
e431de28,eb6cfca7,18,0
6f02c6d9,c9159d9c,20,0
8f6421f3,bdfe8110,8,1
a7e7f371,ad4c7a20,21,1
16857116,f3d7ce08,4,1
3d06b643,db7f80a5,19,1
06b9cf99,fb69b3b4,13,0
7686c854,8a729537,18,1
5a81e159,d82fa7e3,1,0
46e9aed4,7011024d,19,0
29cf2e70,b2001d68,20,1
22b41936,9cea10af,19,1
487c9f62,54488276,15,0
2e404969,597195ee,21,0
69b2fd22,d018b49f,19,0
31f29772,b728ba1d,9,0
3c667d4f,a7894e0b,8,1
1c8bb204,7ed5a88d,18,0
0f3a2acf,16e6d8bb,1,1
2acaa7df,46e9aed4,19,0
53551ea0,6be98ece,16,0
968c1e7e,a4e1511a,8,0
